zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
99563,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99666,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99662,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99758,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99554,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99558,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99742,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99748,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99749,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99665,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99585,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99581,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99589,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99630,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99632,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99771,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99770,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99772,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99604,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99602,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99578,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99658,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99650,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99651,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99657,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
99655,221,"Alaska Village Elec Coop, Inc",AK,Bundled,Cooperative,0.533535730967,0,0.61036686237
31702,230,Albany Water Gas & Light Comm,GA,Bundled,Municipal,0.0939660448197,0,0.101550088082
31703,230,Albany Water Gas & Light Comm,GA,Bundled,Municipal,0.0939660448197,0,0.101550088082
31706,230,Albany Water Gas & Light Comm,GA,Bundled,Municipal,0.0939660448197,0,0.101550088082
28002,232,City of Albemarle - (NC),NC,Bundled,Municipal,0.107536197008,0.0873424195926,0.128554917059
27947,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.111552550014,0.0750857578453,0.130475041868
27944,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.111552550014,0.0750857578453,0.130475041868
27919,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.111552550014,0.0750857578453,0.130475041868
27976,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.111552550014,0.0750857578453,0.130475041868
27974,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.111552550014,0.0750857578453,0.130475041868
27980,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.111552550014,0.0750857578453,0.130475041868
27965,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.111552550014,0.0750857578453,0.130475041868
27909,240,Albemarle Electric Member Corp,NC,Bundled,Cooperative,0.111552550014,0.0750857578453,0.130475041868
